name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Rosario, Argentina",2022-06-19,18.8,1.3,9.9,18.8,-0.5,8.8,1.7,60.4,0,0,0,,0,0,51.1,20.5,210.8,1017.1,5.8,12.3,129.3,11.2,5,10,2022-06-19T08:04:52,2022-06-19T18:03:17,0.67,Clear,Clear conditions throughout the day.,clear-day,"SAAR,87480099999"
"Rosario, Argentina",2022-06-20,18.8,0.7,9.3,18.8,0.7,9.1,1.2,63.4,0,0,0,,0,0,23,18.4,80.2,1015.1,40.4,10.9,95.4,8.3,4,10,2022-06-20T08:05:07,2022-06-20T18:03:28,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-06-21,16.8,1.4,8.5,16.8,-1.8,7.3,2.7,70.6,0,0,0,,0,0,43.2,27.9,173.6,1015.1,41.3,11.4,116.4,10,5,10,2022-06-21T08:05:20,2022-06-21T18:03:41,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-06-22,12,3.6,7.5,12,-0.6,5.1,1.6,67.6,0,0,0,,0,0,42.8,24.1,155.4,1019.5,75.8,12.2,96.3,8.4,4,10,2022-06-22T08:05:32,2022-06-22T18:03:56,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-06-23,12,-1.5,5.6,12,-5,3.7,1.8,78.1,0,0,0,,0,0,24.5,16.7,137.1,1020.5,47.9,11.5,96.4,8.2,5,10,2022-06-23T08:05:43,2022-06-23T18:04:11,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-06-24,14,8,10.7,14,6.5,10.2,7.2,79.9,0,0,0,rain,0,0,30.2,20.5,143.6,1023.5,94,10.4,30.5,2.6,1,10,2022-06-24T08:05:53,2022-06-24T18:04:28,0.91,Overcast,Cloudy skies throughout the day.,cloudy,"SAAR,87480099999"
"Rosario, Argentina",2022-06-25,12.9,-0.1,6.7,12.9,-3.7,4.9,1.6,72.2,0,0,0,,0,0,29.2,14.8,150.5,1030.6,68.6,11.3,111.2,9.6,5,10,2022-06-25T08:06:01,2022-06-25T18:04:46,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-06-26,10,6.9,8.3,7.8,4.1,6.1,4.3,76.3,0,0,0,,0,0,27.7,18.4,95.3,1023.4,95.4,12.1,30.1,2.5,2,10,2022-06-26T08:06:08,2022-06-26T18:05:05,0.97,Overcast,Cloudy skies throughout the day.,cloudy,"SAAR,87480099999"
"Rosario, Argentina",2022-06-27,11,8.2,9.6,11,6.6,9.2,6,78.6,0,0,0,rain,0,0,23.8,9.4,138.1,1017.4,98.4,11.2,17.3,1.5,1,10,2022-06-27T08:06:13,2022-06-27T18:05:25,0.99,Overcast,Cloudy skies throughout the day.,cloudy,"SAAR,87480099999"
"Rosario, Argentina",2022-06-28,18.3,7.4,11.8,18.3,6.3,11.4,7.8,78.2,3.5,100,8.33,rain,0,0,31,25.1,248.7,1018.7,57.9,11.7,110.2,9.5,5,10,2022-06-28T08:06:17,2022-06-28T18:05:47,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SAAR,87480099999"
"Rosario, Argentina",2022-06-29,20,3.9,11.2,20,1.3,10.3,5.3,71.3,0,0,0,,0,0,48.2,36.1,177.2,1013.9,27.9,12.3,133.3,11.5,5,10,2022-06-29T08:06:19,2022-06-29T18:06:09,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-06-30,18,2.4,9.7,18,0.4,9,2,64.8,0,0,0,,0,0,43.6,19.5,179.1,1017.7,14.2,11.7,134.3,11.5,5,10,2022-06-30T08:06:20,2022-06-30T18:06:33,0.01,Clear,Clear conditions throughout the day.,clear-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-01,17.1,7.2,11.6,17.1,4.7,10.6,8.6,82.4,0,0,0,rain,0,0,45.7,22.5,79.7,1008.2,55.4,10.8,95.6,8.2,5,10,2022-07-01T08:06:19,2022-07-01T18:06:57,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-02,15.8,3.8,9.1,15.8,1.2,8.1,1.7,65,0,0,0,,0,0,48.6,25.9,193,1015.7,5.6,10.3,138,11.9,5,10,2022-07-02T08:06:17,2022-07-02T18:07:23,0.05,Clear,Clear conditions throughout the day.,clear-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-03,15.8,-1.3,7.2,15.8,-4.8,6.6,0,63.4,0,0,0,,0,0,36.7,20.5,123.3,1020,53.3,12.2,129.9,11.2,5,10,2022-07-03T08:06:13,2022-07-03T18:07:49,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-04,18.9,7.4,12.3,18.9,6.6,12.2,6,67.1,0,0,0,,0,0,34.9,20.5,173,1015.5,49.2,12.3,67.3,5.8,3,10,2022-07-04T08:06:08,2022-07-04T18:08:16,0.12,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-05,15.9,2.9,9.9,15.9,-0.1,9,7.3,84.8,0,0,0,,0,0,25.6,15.6,132.7,1016.9,44.2,11.5,137.5,11.8,5,10,2022-07-05T08:06:01,2022-07-05T18:08:45,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-06,17.3,9.4,12.8,17.3,8.1,12.7,11.2,90.3,0,0,0,rain,0,0,27.4,18.4,88.4,1008.4,98.5,10.2,113.1,9.9,4,10,2022-07-06T08:05:53,2022-07-06T18:09:14,0.22,Overcast,Cloudy skies throughout the day.,cloudy,"SAAR,87480099999"
"Rosario, Argentina",2022-07-07,15.9,2.5,9.6,15.9,-1,8.6,-1,54.4,0,0,0,rain,0,0,48.6,23.3,176,1018.3,12.1,12.1,142.4,12.2,6,10,2022-07-07T08:05:43,2022-07-07T18:09:44,0.27,Clear,Clear conditions throughout the day.,clear-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-08,14.7,-0.8,7.6,14.7,-2.8,7,-2.1,54.3,0,0,0,,0,0,47.2,24.1,106.6,1018.3,56.8,12.3,56.3,4.8,4,10,2022-07-08T08:05:31,2022-07-08T18:10:14,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-09,26,8.1,17,26,7.5,17,11,68.6,0,0,0,rain,0,0,53.3,29.1,74.4,1006,45.8,11.5,129.7,11.2,5,15,2022-07-09T08:05:18,2022-07-09T18:10:46,0.38,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-10,23,12.4,17,23,12.4,17,11.8,73.5,0,0,0,,0,0,42.5,31.7,159.5,1003.6,44.2,10.9,83.6,7.2,4,10,2022-07-10T08:05:03,2022-07-10T18:11:18,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-11,13.2,7,11.2,13.2,3.5,10.7,3,56.9,0,0,0,,0,0,54.7,38.1,188.9,1012.5,92.7,12.3,110.5,9.6,5,10,2022-07-11T08:04:47,2022-07-11T18:11:51,0.46,Overcast,Cloudy skies throughout the day.,cloudy,"SAAR,87480099999"
"Rosario, Argentina",2022-07-12,13.1,-2.4,5.8,13.1,-4.5,4.3,0.8,72.8,0,0,0,,0,0,37.8,19.5,141.2,1020.2,16.7,12.1,142.5,12.2,6,10,2022-07-12T08:04:29,2022-07-12T18:12:24,0.49,Clear,Clear conditions throughout the day.,clear-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-13,19,4.5,11.4,19,2.1,10.2,4,64.5,0,0,0,,0,0,46.1,27.7,45.6,1014.3,14.6,11.5,143,12.2,6,10,2022-07-13T08:04:10,2022-07-13T18:12:58,0.5,Clear,Clear conditions throughout the day.,clear-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-14,17.8,8,11.6,17.8,6,10.8,8.1,79.9,0,0,0,,0,0,37.8,15.6,119.4,1007.7,35.4,11.5,87,7.7,5,10,2022-07-14T08:03:49,2022-07-14T18:13:33,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-15,15.5,6.4,9.9,15.5,3.9,8.5,6.8,82.3,0,0,0,,0,0,47.5,35.3,198.8,1009.6,66.1,11.3,128,11,5,10,2022-07-15T08:03:27,2022-07-15T18:14:08,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-07-16,9.3,3.5,7.6,6.3,1.2,4.1,4.9,83.5,0,0,0,rain,0,0,47.5,39.9,219.2,1014.5,79.1,10.5,31.1,2.6,2,10,2022-07-16T08:03:03,2022-07-16T18:14:44,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
